_step,iter,val/loss,train/loss,run_id,name
0,0,10.98974895477295,10.988554954528809,fa60a90h,train_gpt2_small
1,1000,4.5244460105896,4.517390251159668,fa60a90h,train_gpt2_small
2,2000,3.8052048683166504,3.78363037109375,fa60a90h,train_gpt2_small
3,3000,3.5280139446258545,3.5336620807647705,fa60a90h,train_gpt2_small
4,4000,3.425858736038208,3.4301929473876953,fa60a90h,train_gpt2_small
5,5000,3.3698301315307617,3.341947317123413,fa60a90h,train_gpt2_small
6,6000,3.313802719116211,3.293614387512207,fa60a90h,train_gpt2_small
7,7000,3.2674829959869385,3.2616946697235107,fa60a90h,train_gpt2_small
8,8000,3.2431800365448,3.2337465286254883,fa60a90h,train_gpt2_small
9,9000,3.220480442047119,3.2263622283935547,fa60a90h,train_gpt2_small
10,10000,3.2112724781036377,3.1917214393615723,fa60a90h,train_gpt2_small
11,11000,3.1870434284210205,3.1819100379943848,fa60a90h,train_gpt2_small
12,12000,3.1731526851654053,3.1474404335021973,fa60a90h,train_gpt2_small
13,13000,3.156534194946289,3.1463212966918945,fa60a90h,train_gpt2_small
14,14000,3.1510725021362305,3.1378817558288574,fa60a90h,train_gpt2_small
15,15000,3.139347553253174,3.1393444538116455,fa60a90h,train_gpt2_small
16,16000,3.1346640586853027,3.119075298309326,fa60a90h,train_gpt2_small
17,17000,3.124753952026367,3.1101326942443848,fa60a90h,train_gpt2_small
18,18000,3.113118886947632,3.116992712020874,fa60a90h,train_gpt2_small
19,19000,3.1306188106536865,3.0961477756500244,fa60a90h,train_gpt2_small
20,20000,3.113877296447754,3.0941522121429443,fa60a90h,train_gpt2_small
21,21000,3.1114890575408936,3.090184211730957,fa60a90h,train_gpt2_small
22,22000,3.095381498336792,3.095438003540039,fa60a90h,train_gpt2_small
23,23000,3.098851203918457,3.082275390625,fa60a90h,train_gpt2_small
24,24000,3.3417041301727295,3.3185176849365234,fa60a90h,train_gpt2_small
25,25000,3.671433210372925,3.6802632808685303,fa60a90h,train_gpt2_small
26,26000,3.870695114135742,3.8672921657562256,fa60a90h,train_gpt2_small
27,27000,4.236181259155273,4.220535755157471,fa60a90h,train_gpt2_small
28,28000,5.089322566986084,5.0728302001953125,fa60a90h,train_gpt2_small
29,29000,7.457966327667236,7.442224025726318,fa60a90h,train_gpt2_small
30,30000,7.996696949005127,8.006429672241211,fa60a90h,train_gpt2_small
31,31000,7.698704719543457,7.691207408905029,fa60a90h,train_gpt2_small
32,32000,8.4844388961792,8.456965446472168,fa60a90h,train_gpt2_small
33,33000,7.719061374664307,7.707087993621826,fa60a90h,train_gpt2_small
34,34000,8.314425468444824,8.297115325927734,fa60a90h,train_gpt2_small
35,35000,8.895554542541504,8.890625953674316,fa60a90h,train_gpt2_small
36,36000,9.86346435546875,9.847610473632812,fa60a90h,train_gpt2_small
37,37000,8.718851089477539,8.70681381225586,fa60a90h,train_gpt2_small
0,0,10.98974895477295,10.988554954528809,hcxd8vza,train_gpt2_small_50b
1,1000,5.036187648773193,5.03196907043457,hcxd8vza,train_gpt2_small_50b
2,2000,4.0250654220581055,4.000586032867432,hcxd8vza,train_gpt2_small_50b
3,3000,3.6613411903381348,3.6646764278411865,hcxd8vza,train_gpt2_small_50b
4,4000,3.5306410789489746,3.537064790725708,hcxd8vza,train_gpt2_small_50b
5,5000,3.456422805786133,3.4289746284484863,hcxd8vza,train_gpt2_small_50b
6,6000,3.3856451511383057,3.3645477294921875,hcxd8vza,train_gpt2_small_50b
7,7000,3.3306620121002197,3.325479507446289,hcxd8vza,train_gpt2_small_50b
8,8000,3.2992639541625977,3.2895147800445557,hcxd8vza,train_gpt2_small_50b
9,9000,3.269951105117798,3.2760813236236572,hcxd8vza,train_gpt2_small_50b
10,10000,3.2560226917266846,3.238473415374756,hcxd8vza,train_gpt2_small_50b
11,11000,3.2282629013061523,3.2229928970336914,hcxd8vza,train_gpt2_small_50b
12,12000,3.2108306884765625,3.185133457183838,hcxd8vza,train_gpt2_small_50b
13,13000,3.1914031505584717,3.1811187267303467,hcxd8vza,train_gpt2_small_50b
14,14000,3.182121992111206,3.1689705848693848,hcxd8vza,train_gpt2_small_50b
15,15000,3.1666107177734375,3.166452646255493,hcxd8vza,train_gpt2_small_50b
16,16000,3.1617379188537598,3.145209312438965,hcxd8vza,train_gpt2_small_50b
17,17000,3.1472573280334473,3.13297176361084,hcxd8vza,train_gpt2_small_50b
18,18000,3.134671926498413,3.1392035484313965,hcxd8vza,train_gpt2_small_50b
19,19000,3.1500027179718018,3.116142511367798,hcxd8vza,train_gpt2_small_50b
20,20000,3.133981227874756,3.1127331256866455,hcxd8vza,train_gpt2_small_50b
21,21000,3.127781867980957,3.10650634765625,hcxd8vza,train_gpt2_small_50b
22,22000,3.1096925735473633,3.110074758529663,hcxd8vza,train_gpt2_small_50b
23,23000,3.113321542739868,3.096895217895508,hcxd8vza,train_gpt2_small_50b
24,24000,3.1145544052124023,3.0886330604553223,hcxd8vza,train_gpt2_small_50b
25,25000,3.090200424194336,3.096230983734131,hcxd8vza,train_gpt2_small_50b
26,26000,3.1028130054473877,3.09670352935791,hcxd8vza,train_gpt2_small_50b
27,27000,3.0958046913146973,3.0703179836273193,hcxd8vza,train_gpt2_small_50b
28,28000,3.0858335494995117,3.067899227142334,hcxd8vza,train_gpt2_small_50b
29,29000,3.085679054260254,3.0642940998077393,hcxd8vza,train_gpt2_small_50b
30,30000,3.0751960277557373,3.0751280784606934,hcxd8vza,train_gpt2_small_50b
31,31000,3.072397470474243,3.055516242980957,hcxd8vza,train_gpt2_small_50b
32,32000,3.0689098834991455,3.0575921535491943,hcxd8vza,train_gpt2_small_50b
33,33000,3.0574920177459717,3.0550777912139893,hcxd8vza,train_gpt2_small_50b
34,34000,3.0759382247924805,3.060791254043579,hcxd8vza,train_gpt2_small_50b
35,35000,3.0622546672821045,3.056072950363159,hcxd8vza,train_gpt2_small_50b
36,36000,3.058528423309326,3.0367956161499023,hcxd8vza,train_gpt2_small_50b
37,37000,3.053443193435669,3.056093454360962,hcxd8vza,train_gpt2_small_50b
38,38000,3.0508666038513184,3.0235602855682373,hcxd8vza,train_gpt2_small_50b
39,39000,3.040200710296631,3.0380654335021973,hcxd8vza,train_gpt2_small_50b
40,40000,3.0598104000091553,3.0383100509643555,hcxd8vza,train_gpt2_small_50b
41,41000,3.0299487113952637,3.02070951461792,hcxd8vza,train_gpt2_small_50b
42,42000,3.0439279079437256,3.0250415802001953,hcxd8vza,train_gpt2_small_50b
43,43000,3.0383036136627197,3.032212495803833,hcxd8vza,train_gpt2_small_50b
44,44000,3.025174856185913,3.0266568660736084,hcxd8vza,train_gpt2_small_50b
